Info					LAZARUS							OFFICIAL							CHANGES																LEVEL - UP MOVES																											EGG MOVES																	TM/HM MOVES																																						MOVE TUTOR MOVES																								POKEDEX STATS							
Name	Nat #	#	Type		HP	ATK	DEF	SPA	SPD	SPE	BST	HP	ATK	DEF	SPA	SPD	SPE	BST	HP	ATK	DEF	SPA	SPD	SPE	BST	Ability 1	Ability 2	Hidden Ability	Evolution	Item 1 - 50%	Item 2 - 5%	Location	Egg Groups		Move 1	Move 2	Move 3	Move 4	Move 5	Move 6	Move 7	Move 8	Move 9	Move 10	Move 11	Move 12	Move 13	Move 14	Move 15	Move 16	Move 17	Move 18	Move 19	Move 20	Move 21	Move 22	Move 23	Move 23	Move 24	Move 25	Move 26	Move 1	Move 2	Move 3	Move 4	Move 5	Move 6	Move 7	Move 8	Move 9	Move 10	Move 11	Move 12	Move 13	Move 14	Move 15	Move 16	Move 17	Move 1	Move 2	Move 3	Move 4	Move 5	Move 6	Move 7	Move 8	Move 9	Move 10	Move 11	Move 12	Move 13	Move 14	Move 15	Move 16	Move 17	Move 18	Move 19	Move 20	Move 21	Move 22	Move 23	Move 24	Move 25	Move 26	Move 27	Move 28	Move 29	Move 30	Move 31	Move 32	Move 33	Move 34	Move 35	Move 36	Move 37	Move 38	Move 1	Move 2	Move 3	Move 4	Move 5	Move 6	Move 7	Move 8	Move 9	Move 10	Move 11	Move 12	Move 13	Move 14	Move 15	Move 16	Move 17	Move 18	Move 19	Move 20	Move 21	Move 22	Move 23	Sprite #	EV Yield	Height (m)	Weight (kg)	Base Exp.	Catch Rate	Egg Cycles	Base Friendship	Growth Rate
Drowzee	96	283	Psychic		60	48	45	43	90	42	328	60	48	45	43	90	42	328	0	0	0	0	0	0	0	Insomnia	Forewarn	Nasty Surprise				Pythios Town, Myrrini Island (wild)	Human-Like	Human-Like	1, Hypnosis	1, Pursuit	5, Disable	9, Confusion	13, Headbutt	17, Poison Gas	21, Meditate	23, Psybeam	26, Knock Off	29, Poison Jab	33, Psych Up	35, Body Slam	37, Synchronoise	41, Dark Pulse	45, Malignant Chain	49, Psychic	53, Nasty Plot	57, Psyshock	61, Future Sight									Barrier	Assist	Role Play	Fire Punch	Thunder Punch	Ice Punch	Nasty Plot	Flatter	Psycho Cut	Guard Swap	Secret Power	Skill Swap	Power Split	Psychic Terrain				TM04 - Calm Mind	TM05 - Psyshock	TM06 - Toxic	TM11 - Sunny Day	TM12 - Taunt	TM15 - Draining Kiss	TM16 - Light Screen	TM17 - Protect	TM18 - Rain Dance	TM29 - Psychic	TM30 - Shadow Ball	TM31 - Brick Break	TM32 - Double Team	TM33 - Reflect	TM41 - Torment	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM48 - Skill Swap	TM53 - Power-Up Punch	TM54 - Dazzling Gleam	TM58 - Thunder Wave	HM05 - Flash															Body Slam	Counter	Double-Edge	Dream Eater	Dynamic Punch	Endure	Fire Punch	Ice Punch	Mega Kick	Mega Punch	Metronome	Psych Up	Seismic Toss	Sleep Talk	Snore	Swagger	Swift	Thunder Punch						96	1 Sp. Def	1.0	32.4	66	190	20	50	Medium Fast
Hypno	97	284	Psychic	Dark	90	73	70	73	115	67	488	85	73	70	73	115	67	483	5	0	0	0	0	0	5	Insomnia	Forewarn	Nasty Surprise	Lv. 26			Drowzee (evolve)	Human-Like	Human-Like	Evo, Nasty Plot	1, Future Sight	1, Nightmare	1, Switcheroo	1, Pursuit	1, Hypnosis	5, Disable	9, Confusion	13, Headbutt	17, Poison Gas	21, Meditate	23, Psybeam	26, Knock Off	29, Poison Jab	33, Psych Up	35, Body Slam	37, Synchronoise	41, Dark Pulse	45, Malignant Chain	49, Psychic	53, Nasty Plot	57, Psyshock	61, Future Sight					Barrier	Assist	Role Play	Fire Punch	Thunder Punch	Ice Punch	Nasty Plot	Flatter	Psycho Cut	Guard Swap	Secret Power	Skill Swap	Power Split	Psychic Terrain				TM04 - Calm Mind	TM05 - Psyshock	TM06 - Toxic	TM11 - Sunny Day	TM12 - Taunt	TM15 - Draining Kiss	TM16 - Light Screen	TM17 - Protect	TM18 - Rain Dance	TM23 - Hex	TM29 - Psychic	TM30 - Shadow Ball	TM31 - Brick Break	TM32 - Double Team	TM33 - Reflect	TM41 - Torment	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM48 - Skill Swap	TM53 - Power-Up Punch	TM54 - Dazzling Gleam	TM58 - Thunder Wave	HM05 - Flash														Body Slam	Counter	Double-Edge	Dream Eater	Dynamic Punch	Endure	Fire Punch	Ice Punch	Mega Kick	Mega Punch	Metronome	Psych Up	Seismic Toss	Sleep Talk	Snore	Swagger	Swift	Thunder Punch						97	2 Sp. Def	1.6	75.6	169	75	20	50	Medium Fast
Ekans	23	285	Poison	Dark	35	60	44	40	54	55	288	35	60	44	40	54	55	288	0	0	0	0	0	0	0	Intimidate	Shed Skin	Strong Jaw				Riverwalk Trail S, Pythios Cemetery, Sea of Asteri W (wild)	Field	Dragon	1, Wrap	1, Leer	4, Poison Sting	9, Bite	12, Glare	17, Screech	20, Acid	23, Stockpile	23, Swallow	23, Spit Up	26, Poison Fang	28, Acid Spray	33, Mud Bomb	36, Gastro Acid	38, Belch	41, Haze	44, Coil	49, Gunk Shot										Pursuit	Slam	Spite	Beat Up	Poison Fang	Scary Face	Poison Tail	Disable	Switcheroo	Iron Tail	Sucker Punch	Snatch						TM06 - Toxic	TM11 - Sunny Day	TM17 - Protect	TM18 - Rain Dance	TM19 - Giga Drain	TM20 - Poison Jab	TM21 - Acid Spray	TM26 - Earthquake	TM28 - Dig	TM32 - Double Team	TM36 - Sludge Bomb	TM39 - Rock Tomb	TM41 - Torment	TM42 - Facade	TM43 - Poison Fang	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM49 - Bulldoze	TM55 - Snarl	TM59 - Dark Pulse	HM04 - Strength																	Body Slam	Double-Edge	Endure	Mud-Slap	Rock Slide	Sleep Talk	Snore	Swagger																23	1 Atk	2.0	6.9	58	255	20	50	Medium Fast
Arbok	24	286	Poison	Dark	70	95	74	65	79	80	463	60	95	69	65	79	80	448	10	0	5	0	0	0	15	Intimidate	Shed Skin	Strong Jaw	Lv. 22			Kaptara Island E (wild)	Field	Dragon	Evo, Crunch	1, Ice Fang	1, Thunder Fang	1, Fire Fang	1, Wrap	1, Leer	4, Poison Sting	9, Bite	12, Glare	17, Screech	20, Acid	23, Stockpile	23, Swallow	23, Spit Up	26, Poison Fang	28, Acid Spray	33, Mud Bomb	36, Gastro Acid	38, Belch	41, Haze	44, Coil	49, Gunk Shot						Pursuit	Slam	Spite	Beat Up	Poison Fang	Scary Face	Poison Tail	Disable	Switcheroo	Iron Tail	Sucker Punch	Snatch						TM06 - Toxic	TM11 - Sunny Day	TM17 - Protect	TM18 - Rain Dance	TM19 - Giga Drain	TM20 - Poison Jab	TM21 - Acid Spray	TM26 - Earthquake	TM28 - Dig	TM32 - Double Team	TM36 - Sludge Bomb	TM39 - Rock Tomb	TM41 - Torment	TM42 - Facade	TM43 - Poison Fang	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM49 - Bulldoze	TM55 - Snarl	TM59 - Dark Pulse	HM04 - Strength																	Body Slam	Double-Edge	Endure	Mud-Slap	Rock Slide	Sleep Talk	Snore	Swagger																24	2 Atk	3.5	65.0	157	90	20	50	Medium Fast
Basculin Red	550	287	Water		70	102	65	80	55	98	470	70	92	65	80	55	98	460	0	10	0	0	0	0	10	Reckless	Adaptability	Mold Breaker			Deep Sea Tooth	Myrrini Island (surf)	Water 2	Water 2	1, Tackle	1, Tail Whip	1, Water Gun	3, Uproar	5, Headbutt	7, Bite	9, Aqua Jet	11, Chip Away	14, Take Down	17, Crunch	20, Aqua Tail	23, Soak	26, Double-Edge	28, Scary Face	32, Wave Crash	34, Flail	38, Final Gambit	40, Zen Headbutt	42, Thrash	46, Head Smash								Swift	Bubble Beam	Mud Shot	Muddy Water	Agility	Whirlpool	Rage	Brine	Revenge	Head Smash								TM03 - Water Pulse	TM06 - Toxic	TM07 - Whirlpool	TM12 - Taunt	TM13 - Ice Beam	TM14 - Blizzard	TM17 - Protect	TM18 - Rain Dance	TM32 - Double Team	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM56 - Scald	HM01 - Cut	HM03 - Surf	HM07 - Waterfall	HM08 - Dive																						Double-Edge	Endure	Icy Wind	Sleep Talk	Snore	Swagger	Swift																	550	2 Spe	1.0	18.0	161	25	40	50	Medium Fast
Basculegion♂	902	288	Water	Ghost	120	112	65	80	75	78	530	120	112	65	80	75	78	530	0	0	0	0	0	0	0	Swift Swim	Adaptability	Mold Breaker	Lv. after 294 Recoil Dmg, Male			Basculin White (evolve)	Water 2	Water 2	Evo, Bitter Malice	Evo, Shadow Force	1, Tackle	1, Tail Whip	1, Water Gun	3, Uproar	5, Headbutt	7, Bite	9, Aqua Jet	11, Chip Away	14, Take Down	17, Crunch	20, Aqua Tail	23, Soak	26, Double-Edge	28, Scary Face	32, Wave Crash	34, Flail	38, Final Gambit	40, Phantom Force	42, Zen Headbutt	45, Shadow Ball	48, Thrash	53, Head Smash				Incompatible																	TM03 - Water Pulse	TM04 - Calm Mind	TM07 - Whirlpool	TM13 - Ice Beam	TM14 - Blizzard	TM17 - Protect	TM18 - Rain Dance	TM23 - Hex	TM29 - Psychic	TM30 - Shadow Ball	TM42 - Facade	TM44 - Rest	HM03 - Surf	HM07 - Waterfall																									Double-Edge	Endure	Icy Wind	Sleep Talk	Swift																			902	3 HP	3.0	110.0	265	45	20	50	Medium Fast
Pancham	674	289	Fighting		67	82	62	46	48	43	348	67	82	62	46	48	43	348	0	0	0	0	0	0	0	Iron Fist	Mold Breaker	Scrappy			Mental Herb	Myrrini Island (wild)	Human-Like	Field	1, Tackle	1, Leer	7, Arm Thrust	10, Work Up	12, Karate Chop	15, Comet Punch	20, Feint Attack	23, Mega Punch	25, Circle Throw	27, Vital Throw	30, Razor Leaf	33, Body Slam	39, Crunch	42, Entrainment	45, Parting Shot	48, Sky Uppercut												Quash	Me First	Quick Guard	Foul Play	Storm Throw	Power Trip												TM06 - Toxic	TM08 - Bulk Up	TM11 - Sunny Day	TM12 - Taunt	TM17 - Protect	TM18 - Rain Dance	TM28 - Dig	TM31 - Brick Break	TM32 - Double Team	TM36 - Sludge Bomb	TM39 - Rock Tomb	TM40 - Aerial Ace	TM41 - Torment	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM49 - Bulldoze	TM53 - Power-Up Punch	TM59 - Dark Pulse	HM01 - Cut	HM03 - Surf	HM04 - Strength	HM06 - Rock Smash																Body Slam	Endure	Fire Punch	Ice Punch	Mega Kick	Mega Punch	Rock Slide	Seismic Toss	Sleep Talk	Snore	Swagger	Swords Dance	Thunder Punch											674	1 Atk	0.6	8.0	70	220	25	50	Medium Fast
Pangoro	675	290	Fighting	Dark	95	124	78	69	71	58	495	95	124	78	69	71	58	495	0	0	0	0	0	0	0	Iron Fist	Mold Breaker	Scrappy	Lv. 30, w/ Dark Type in Party		Mental Herb	Pancham (evolve)	Human-Like	Field	Evo, Bullet Punch	1, Hammer Arm	1, Low Sweep	1, Entrainment	1, Tackle	1, Leer	7, Arm Thrust	10, Work Up	12, Karate Chop	15, Comet Punch	20, Feint Attack	23, Mega Punch	25, Circle Throw	27, Vital Throw	30, Razor Leaf	33, Body Slam	39, Crunch	42, Entrainment	45, Parting Shot	48, Sky Uppercut	50, Low Sweep	53, Taunt	58, Hammer Arm	60, Wicked Blow	70, Surging Strikes			Quash	Me First	Quick Guard	Foul Play	Storm Throw	Power Trip												TM02 - Dragon Claw	TM06 - Toxic	TM08 - Bulk Up	TM11 - Sunny Day	TM12 - Taunt	TM17 - Protect	TM18 - Rain Dance	TM20 - Poison Jab	TM26 - Earthquake	TM28 - Dig	TM31 - Brick Break	TM32 - Double Team	TM36 - Sludge Bomb	TM39 - Rock Tomb	TM40 - Aerial Ace	TM41 - Torment	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM49 - Bulldoze	TM53 - Power-Up Punch	TM55 - Snarl	TM59 - Dark Pulse	HM01 - Cut	HM03 - Surf	HM04 - Strength	HM06 - Rock Smash											Body Slam	Endure	Fire Punch	Ice Punch	Mega Kick	Mega Punch	Rock Slide	Seismic Toss	Sleep Talk	Snore	Swagger	Swords Dance	Thunder Punch											675	2 Atk	2.1	136.0	173	65	25	50	Medium Fast
Skrelp	690	291	Poison	Water	50	60	60	60	60	30	320	50	60	60	60	60	30	320	0	0	0	0	0	0	0	Poison Point	Poison Touch	Adaptability				Riverwalk Trail S, Kalami City, Sea of Asteri E (surf) Sea of Asteri W, Sea of Vulcai (dive) Myrrini Island (SR) Kipos Town, Myrrini Island (GR) Riverwalk Trail S, Kalami City (OR)(fish)	Dragon	Water 1	1, Tackle	1, Smokescreen	1, Water Gun	5, Feint Attack	9, Tail Whip	12, Bubble	15, Acid	19, Camouflage	23, Poison Tail	25, Water Pulse	28, Double Team	32, Toxic	35, Dragon Dance	35, Aqua Tail	38, Sludge Bomb	40, Poison Jab	42, Hydro Pump	46, Dragon Pulse										Toxic Spikes	Play Rough	Haze	Acid Armor	Venom Drench													TM03 - Water Pulse	TM06 - Toxic	TM07 - Whirlpool	TM17 - Protect	TM18 - Rain Dance	TM20 - Poison Jab	TM21 - Acid Spray	TM24 - Thunderbolt	TM30 - Shadow Ball	TM32 - Double Team	TM34 - Shock Wave	TM36 - Sludge Bomb	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM56 - Scald	TM60 - Dragon Dance	HM03 - Surf	HM07 - Waterfall	HM08 - Dive																		Endure	Icy Wind	Mud-Slap	Sleep Talk	Snore	Swagger																		690	1 Sp. Def	0.5	7.3	64	225	20	50	Medium Fast
Dragalge	691	292	Poison	Dragon	65	80	90	97	123	39	494	65	75	90	97	123	44	494	0	5	0	0	0	-5	0	Poison Point	Poison Touch	Adaptability	Lv. 37			Skrelp (evolve)	Dragon	Water 1	Evo, Twister	1, Dragon Tail	1, Tackle	1, Smokescreen	1, Water Gun	5, Feint Attack	9, Tail Whip	12, Bubble	15, Acid	19, Camouflage	23, Poison Tail	25, Water Pulse	28, Double Team	32, Toxic	35, Dragon Dance	35, Aqua Tail	38, Sludge Bomb	40, Poison Jab	42, Hydro Pump	46, Dragon Pulse	50, Dragon Tail							Toxic Spikes	Play Rough	Haze	Acid Armor	Venom Drench													TM03 - Water Pulse	TM06 - Toxic	TM07 - Whirlpool	TM17 - Protect	TM18 - Rain Dance	TM20 - Poison Jab	TM21 - Acid Spray	TM24 - Thunderbolt	TM25 - Thunder	TM30 - Shadow Ball	TM32 - Double Team	TM34 - Shock Wave	TM36 - Sludge Bomb	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM56 - Scald	TM60 - Dragon Dance	HM03 - Surf	HM07 - Waterfall	HM08 - Dive																	Endure	Icy Wind	Mud-Slap	Sleep Talk	Snore	Swagger																		691	2 Sp. Def	1.8	81.5	173	55	20	50	Medium Fast
Gothita	574	293	Psychic		45	30	50	55	65	45	290	45	30	50	55	65	45	290	0	0	0	0	0	0	0	Frisk	Competitive	Shadow Tag				Erinys Path W (wild)	Human-Like	Human-Like	1, Pound	3, Confusion	7, Tickle	8, Play Nice	10, Fake Tears	14, Double Slap	16, Psybeam	19, Embargo	24, Feint Attack	25, Psyshock	28, Flatter	30, Relic Song	31, Future Sight	33, Heal Block	36, Psychic	39, Dark Pulse	41, Telekinesis	46, Charm	48, Magic Room	52, Thunderbolt								Mirror Coat	Uproar	Miracle Eye	Captivate	Mean Look	Dark Pulse	Heal Pulse											TM04 - Calm Mind	TM05 - Psyshock	TM06 - Toxic	TM12 - Taunt	TM16 - Light Screen	TM17 - Protect	TM18 - Rain Dance	TM24 - Thunderbolt	TM29 - Psychic	TM30 - Shadow Ball	TM32 - Double Team	TM33 - Reflect	TM34 - Shock Wave	TM39 - Rock Tomb	TM41 - Torment	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM48 - Skill Swap	TM58 - Thunder Wave	TM59 - Dark Pulse	HM05 - Flash																Dream Eater	Endure	Psych Up	Rock Slide	Sleep Talk	Snore	Swagger	Swift																574	1 Sp. Def	0.4	5.8	58	200	20	50	Medium Slow
Gothorita	575	294	Psychic		60	45	70	75	85	55	390	60	45	70	75	85	55	390	0	0	0	0	0	0	0	Frisk	Competitive	Shadow Tag	Lv. 27			Kaptara Island W (wild)	Human-Like	Human-Like	1, Pound	3, Confusion	7, Tickle	8, Play Nice	10, Fake Tears	14, Double Slap	16, Psybeam	19, Embargo	24, Feint Attack	25, Psyshock	28, Flatter	30, Relic Song	31, Future Sight	33, Heal Block	36, Psychic	39, Dark Pulse	41, Telekinesis	46, Charm	48, Magic Room	52, Thunderbolt								Mirror Coat	Uproar	Miracle Eye	Captivate	Mean Look	Dark Pulse	Heal Pulse											TM04 - Calm Mind	TM05 - Psyshock	TM06 - Toxic	TM12 - Taunt	TM16 - Light Screen	TM17 - Protect	TM18 - Rain Dance	TM24 - Thunderbolt	TM29 - Psychic	TM30 - Shadow Ball	TM32 - Double Team	TM33 - Reflect	TM34 - Shock Wave	TM39 - Rock Tomb	TM41 - Torment	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM48 - Skill Swap	TM58 - Thunder Wave	TM59 - Dark Pulse	HM05 - Flash																Dream Eater	Endure	Metronome	Psych Up	Rock Slide	Sleep Talk	Snore	Swagger	Swift															575	2 Sp. Def	0.7	18.0	137	100	20	50	Medium Slow
Gothitelle	576	295	Psychic		75	55	95	100	110	65	500	70	55	95	95	110	65	490	5	0	0	5	0	0	10	Frisk	Competitive	Shadow Tag	Lv. 41			Kaptara Island W (wild)	Human-Like	Human-Like	Evo, Perish Song	1, Pound	3, Confusion	7, Tickle	8, Play Nice	10, Fake Tears	14, Double Slap	16, Psybeam	19, Embargo	24, Feint Attack	25, Psyshock	28, Flatter	30, Relic Song	31, Future Sight	33, Heal Block	36, Psychic	39, Dark Pulse	41, Telekinesis	46, Charm	48, Magic Room	52, Thunderbolt							Mirror Coat	Uproar	Miracle Eye	Captivate	Mean Look	Dark Pulse	Heal Pulse											TM04 - Calm Mind	TM05 - Psyshock	TM06 - Toxic	TM12 - Taunt	TM16 - Light Screen	TM17 - Protect	TM18 - Rain Dance	TM24 - Thunderbolt	TM29 - Psychic	TM30 - Shadow Ball	TM31 - Brick Break	TM32 - Double Team	TM33 - Reflect	TM34 - Shock Wave	TM39 - Rock Tomb	TM41 - Torment	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM48 - Skill Swap	TM53 - Power-Up Punch	TM58 - Thunder Wave	TM59 - Dark Pulse	HM05 - Flash														Body Slam	Dream Eater	Endure	Metronome	Psych Up	Rock Slide	Sleep Talk	Snore	Swagger	Swift														576	3 Sp. Def	1.5	44.0	245	50	20	50	Medium Slow
Solosis	577	296	Psychic		45	30	40	105	50	20	290	45	30	40	105	50	20	290	0	0	0	0	0	0	0	Overcoat	Magic Guard	Regenerator				Erinys Path W (wild)	Amorphous	Amorphous	1, Psywave	3, Reflect	7, Rollout	10, Snatch	14, Hidden Power	16, Light Screen	19, Charm	23, Recover	25, Psyshock	28, Endeavor	30, Giga Drain	31, Future Sight	33, Pain Split	37, Psychic	40, Skill Swap	46, Heal Block	48, Wonder Room	52, Chloroblast										Night Shade	Astonish	Confuse Ray	Acid Armor	Trick	Imprison	Secret Power	Astonish	Helping Hand									TM04 - Calm Mind	TM05 - Psyshock	TM06 - Toxic	TM11 - Sunny Day	TM16 - Light Screen	TM17 - Protect	TM18 - Rain Dance	TM25 - Thunder	TM29 - Psychic	TM30 - Shadow Ball	TM32 - Double Team	TM33 - Reflect	TM34 - Shock Wave	TM39 - Rock Tomb	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM48 - Skill Swap	TM58 - Thunder Wave	HM05 - Flash																			Dream Eater	Endure	Explosion	Psych Up	Rock Slide	Rollout	Sleep Talk	Snore	Swagger	Swift														577	1 Sp. Atk	0.3	1.0	58	200	20	50	Medium Slow
Duosion	578	297	Psychic		65	40	50	125	60	30	370	65	40	50	125	60	30	370	0	0	0	0	0	0	0	Overcoat	Magic Guard	Regenerator	Lv. 27			Kaptara Island W (wild)	Amorphous	Amorphous	1, Psywave	3, Reflect	7, Rollout	10, Snatch	14, Hidden Power	16, Light Screen	19, Charm	23, Recover	25, Psyshock	28, Endeavor	30, Giga Drain	31, Future Sight	33, Pain Split	37, Psychic	40, Skill Swap	46, Heal Block	48, Wonder Room	52, Chloroblast										Night Shade	Astonish	Confuse Ray	Acid Armor	Trick	Imprison	Secret Power	Astonish	Helping Hand									TM04 - Calm Mind	TM05 - Psyshock	TM06 - Toxic	TM11 - Sunny Day	TM16 - Light Screen	TM17 - Protect	TM18 - Rain Dance	TM25 - Thunder	TM29 - Psychic	TM30 - Shadow Ball	TM32 - Double Team	TM33 - Reflect	TM34 - Shock Wave	TM39 - Rock Tomb	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM48 - Skill Swap	TM58 - Thunder Wave	HM05 - Flash																			Dream Eater	Endure	Explosion	Psych Up	Rock Slide	Rollout	Sleep Talk	Snore	Swagger	Swift														578	2 Sp. Atk	0.6	8.0	130	100	20	50	Medium Slow
Reuniclus	579	298	Psychic		120	65	75	125	85	30	500	110	65	75	125	85	30	490	10	0	0	0	0	0	10	Overcoat	Magic Guard	Regenerator	Lv. 41			Kaptara Island W (wild)	Amorphous	Amorphous	Evo, Vacuum Wave	1, Psywave	3, Reflect	7, Rollout	10, Snatch	14, Hidden Power	16, Light Screen	19, Charm	23, Recover	25, Psyshock	28, Endeavor	30, Giga Drain	31, Future Sight	33, Pain Split	37, Psychic	40, Skill Swap	46, Heal Block	48, Wonder Room	52, Chloroblast									Night Shade	Astonish	Confuse Ray	Acid Armor	Trick	Imprison	Secret Power	Astonish	Helping Hand									TM04 - Calm Mind	TM05 - Psyshock	TM06 - Toxic	TM11 - Sunny Day	TM16 - Light Screen	TM17 - Protect	TM18 - Rain Dance	TM25 - Thunder	TM29 - Psychic	TM30 - Shadow Ball	TM32 - Double Team	TM33 - Reflect	TM34 - Shock Wave	TM39 - Rock Tomb	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM48 - Skill Swap	TM53 - Power-Up Punch	TM58 - Thunder Wave	HM04 - Strength	HM05 - Flash	HM06 - Rock Smash																Body Slam	Dream Eater	Endure	Explosion	Fire Punch	Ice Punch	Mega Punch	Psych Up	Rock Slide	Rollout	Sleep Talk	Snore	Swagger	Swift	Thunder Punch									579	3 Sp. Atk	1.0	20.1	221	50	20	50	Medium Slow
Litwick	607	299	Ghost	Fire	50	30	55	65	55	20	275	50	30	55	65	55	20	275	0	0	0	0	0	0	0	Flash Fire	Flame Body	Infiltrator				Pythios Cemetery (wild)	Amorphous	Amorphous	1, Ember	1, Astonish	3, Minimize	5, Smog	7, Fire Spin	10, Confuse Ray	13, Night Shade	16, Will-O-Wisp	20, Flame Burst	24, Imprison	28, Hex	30, Flash	33, Memento	38, Inferno	40, Infernal Parade	43, Curse	49, Shadow Ball	55, Pain Split	61, Overheat									Acid Armor	Heat Wave	Haze	Endure	Captivate	Acid	Clear Smog	Power Split										TM04 - Calm Mind	TM06 - Toxic	TM11 - Sunny Day	TM12 - Taunt	TM17 - Protect	TM22 - Solar Beam	TM23 - Hex	TM29 - Psychic	TM30 - Shadow Ball	TM32 - Double Team	TM34 - Shock Wave	TM35 - Flamethrower	TM38 - Fire Blast	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM51 - Will-O-Wisp	TM59 - Dark Pulse	HM05 - Flash																			Dream Eater	Endure	Psych Up	Sleep Talk	Snore	Swagger																		607	1 Sp. Atk	0.3	3.1	55	190	20	50	Medium Slow
Lampent	608	300	Ghost	Fire	60	40	60	95	60	55	370	60	40	60	95	60	55	370	0	0	0	0	0	0	0	Flash Fire	Flame Body	Infiltrator	Lv. 26			Lastlight Road (wild)	Amorphous	Amorphous	1, Ember	1, Astonish	3, Minimize	5, Smog	7, Fire Spin	10, Confuse Ray	13, Night Shade	16, Will-O-Wisp	20, Flame Burst	24, Imprison	28, Hex	30, Flash	33, Memento	38, Inferno	40, Infernal Parade	43, Curse	49, Shadow Ball	55, Pain Split	61, Overheat									Acid Armor	Heat Wave	Haze	Endure	Captivate	Acid	Clear Smog	Power Split										TM04 - Calm Mind	TM06 - Toxic	TM11 - Sunny Day	TM12 - Taunt	TM17 - Protect	TM22 - Solar Beam	TM23 - Hex	TM29 - Psychic	TM30 - Shadow Ball	TM32 - Double Team	TM34 - Shock Wave	TM35 - Flamethrower	TM38 - Fire Blast	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM51 - Will-O-Wisp	TM59 - Dark Pulse	HM05 - Flash																			Dream Eater	Endure	Psych Up	Sleep Talk	Snore	Swagger																		608	2 Sp. Atk	0.6	13.0	130	90	20	50	Medium Slow
Chandelure	609	301	Ghost	Fire	70	55	90	145	100	80	540	60	55	90	145	90	80	520	10	0	0	0	10	0	20	Flash Fire	Flame Body	Infiltrator	Dusk Stone			Lampent (evolve)	Amorphous	Amorphous	1, Ember	1, Astonish	3, Minimize	5, Smog	7, Fire Spin	10, Confuse Ray	13, Night Shade	16, Will-O-Wisp	20, Flame Burst	24, Imprison	28, Hex	30, Flash	33, Memento	38, Inferno	40, Infernal Parade	43, Curse	49, Shadow Ball	55, Pain Split	61, Overheat									Acid Armor	Heat Wave	Haze	Endure	Captivate	Acid	Clear Smog	Power Split										TM04 - Calm Mind	TM06 - Toxic	TM11 - Sunny Day	TM12 - Taunt	TM17 - Protect	TM22 - Solar Beam	TM23 - Hex	TM29 - Psychic	TM30 - Shadow Ball	TM32 - Double Team	TM34 - Shock Wave	TM35 - Flamethrower	TM38 - Fire Blast	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM51 - Will-O-Wisp	TM59 - Dark Pulse	HM05 - Flash																			Dream Eater	Endure	Psych Up	Sleep Talk	Snore	Swagger																		609	3 Sp. Atk	1.0	34.3	260	45	20	50	Medium Slow
Charcadet	935	302	Fire		40	50	40	50	40	35	255	40	50	40	50	40	35	255	0	0	0	0	0	0	0	Flash Fire	Flame Body	Weak Armor				Sea of Asteri E, Sea of Vulcai (wild)	Human-Like	Human-Like	1, Leer	1, Ember	1, Astonish	8, Clear Smog	12, Fire Spin	16, Will-O-Wisp	20, Night Shade	24, Flame Charge	28, Incinerate	32, Lava Plume																		Destiny Bond	Disable	Spite															TM11 - Sunny Day	TM17 - Protect	TM35 - Flamethrower	TM38 - Fire Blast	TM42 - Facade	TM44 - Rest	TM51 - Will-O-Wisp																																Endure	Sleep Talk																						935	1 Sp. Atk	0.6	10.5	51	90	35	50	Slow
